Day,Month,Year,Price,RelChange,Time,RiskFree
25.0,2.0,1988.0,68.625,-0.0196429,88.15,70.62188490672357
26.0,2.0,1988.0,69.125,0.00728597,88.1528,70.63516182108603
29.0,2.0,1988.0,72.25,0.045208,88.1611,70.6484412315084
1.0,3.0,1988.0,71.125,-0.0155709,88.1667,70.66172313845993
2.0,3.0,1988.0,71.125,0.0,88.1694,70.67500754240997
3.0,3.0,1988.0,70.75,-0.00527241,88.1722,70.68829444382796
4.0,3.0,1988.0,71.5,0.0106007,88.175,70.7015838431834
7.0,3.0,1988.0,72.0,0.00699301,88.1833,70.71487574094593
8.0,3.0,1988.0,72.75,0.0104167,88.1861,70.72817013758524
9.0,3.0,1988.0,72.5,-0.00343643,88.1889,70.74146703357111
10.0,3.0,1988.0,70.25,-0.0310345,88.1917,70.75476642937343
11.0,3.0,1988.0,71.75,0.0213523,88.1944,70.76806832546217
14.0,3.0,1988.0,71.75,0.0,88.2028,70.78137272230735
15.0,3.0,1988.0,71.75,0.0,88.2056,70.79467962037916
16.0,3.0,1988.0,73.75,0.0278746,88.2083,70.80798902014779
17.0,3.0,1988.0,73.5,-0.00338983,88.2111,70.82130092208358
18.0,3.0,1988.0,72.0,-0.0204082,88.2139,70.83461532665693
21.0,3.0,1988.0,72.0,0.0,88.2222,70.84793223433834
22.0,3.0,1988.0,72.25,0.00347222,88.225,70.8612516455984
23.0,3.0,1988.0,72.375,0.0017301,88.2278,70.87457356090778
24.0,3.0,1988.0,71.0,-0.0189983,88.2306,70.88789798073724
25.0,3.0,1988.0,69.25,-0.0246479,88.2333,70.90122490555763
28.0,3.0,1988.0,69.5,0.00361011,88.2417,70.91455433583988
29.0,3.0,1988.0,70.875,0.0197842,88.2444,70.92788627205502
30.0,3.0,1988.0,71.25,0.00529101,88.2472,70.94122071467417
31.0,3.0,1988.0,71.375,0.00175439,88.25,70.95455766416853
4.0,4.0,1988.0,70.375,-0.0140105,88.2583,70.9678971210094
5.0,4.0,1988.0,70.625,0.0035524,88.2611,70.98123908566815
6.0,4.0,1988.0,74.0,0.0477876,88.2639,70.99458355861626
7.0,4.0,1988.0,74.125,0.00168919,88.2667,71.00793054032528
8.0,4.0,1988.0,75.25,0.0151771,88.2694,71.02128003126687
11.0,4.0,1988.0,75.25,0.0,88.2778,71.03463203191275
12.0,4.0,1988.0,75.75,0.00664452,88.2806,71.04798654273476
13.0,4.0,1988.0,75.375,-0.0049505,88.2833,71.0613435642048
14.0,4.0,1988.0,71.625,-0.0497512,88.2861,71.07470309679488
15.0,4.0,1988.0,72.75,0.0157068,88.2889,71.08806514097708
18.0,4.0,1988.0,71.875,-0.0120275,88.2972,71.1014296972236
19.0,4.0,1988.0,71.75,-0.00173913,88.3,71.11479676600668
20.0,4.0,1988.0,72.25,0.00696864,88.3028,71.1281663477987
21.0,4.0,1988.0,72.125,-0.0017301,88.3056,71.1415384430721
22.0,4.0,1988.0,73.375,0.017331,88.3083,71.15491305229939
